StudentCode,MCRCourseCode,UCASCourseCode,AcademicYear,ProgrammeOfStudy,Route,FeeStatusCode,FeeStatus,DateCreated,CycleOfApplication
202102535,UGMBBSFFU01,A101,2021/22,MB BS,Medicine,H,Home,15/03/2021,2021
202102536,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,20/10/2020,2021
202102537,UGPHAPXFU01,F3F5,2021/22,BSc,Physics with Astrophysics,H,Home,20/10/2020,2021
202102538,UGHISTXFU01,V100,2021/22,BA,History,H,Home,20/10/2020,2021
202102539,UGMBBSXFU01,A100,2021/22,MB BS,Medicine,H,Home,15/03/2021,2021
202102540,UGMARIXFU01,C160,2021/22,BSc,Marine Biology,H,Home,20/10/2020,2021
202102541,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,20/10/2020,2021
202102542,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,20/10/2020,2021
202102543,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,20/10/2020,2021
202102544,UGLAWXXFU01,M100,2021/22,LLB,Law,H,Home,20/10/2020,2021
202102545,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,20/10/2020,2021
202102546,UGNURMXFU01,B760,2021/22,BSc,Nursing (Mental Health),H,Home,20/10/2020,2021
202102547,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,20/10/2020,2021
202102548,UGCRLAXFU01,M9M1,2021/22,BA,Criminology with Law,H,Home,20/10/2020,2021
202102549,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,20/10/2020,2021
202102550,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,Q,Query,20/10/2020,2021
202102551,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,20/10/2020,2021
202102570,UGZOOLXFU01,C300,2021/22,BSc,Zoology,H,Home,21/10/2020,2021
202102571,UGBIOLXFU01,C100,2021/22,BSc,Biology,H,Home,21/10/2020,2021
202102572,UGBIMEXFU01,H160,2021/22,BEng,Biomedical Engineering,H,Home,21/10/2020,2021
202102573,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,21/10/2020,2021
202102576,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,21/10/2020,2021
202102577,UGLAWXXFU01,M100,2021/22,LLB,Law,H,Home,21/10/2020,2021
202102578,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,21/10/2020,2021
202102579,UGNURCXFU01,B730,2021/22,BSc,Nursing (Child),H,Home,21/10/2020,2021
202102579,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,21/10/2020,2021
202102580,UGMBBSFFU01,A101,2021/22,MB BS,Medicine,H,Home,15/03/2021,2021
202102581,UGCRPSXFU01,M9C8,2021/22,BA,Criminology with Psychology,H,Home,21/10/2020,2021
202102582,UGEACSXFU01,X312,2021/22,BA,Early Childhood Studies,H,Home,21/10/2020,2021
202102583,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,21/10/2020,2021
202102584,UGCHEEXFU01,H810,2021/22,BEng,Chemical Engineering,H,Home,21/10/2020,2021
202102596,UGFINMXFU01,N340,2021/22,BSc,Financial Management,O,Overseas,20/10/2021,2021
202102600,UGBMHRXFU01,N600,2021/22,BA,Business Management with Human Resource Management,O,Overseas,27/10/2021,2021
202102612,UGBMFMXFU01,NN13,2021/22,BA,Business Management and Financial Management,O,Overseas,21/10/2021,2021
202102614,UGBMFMXFU01,NN13,2021/22,BA,Business Management and Financial Management,O,Overseas,21/10/2021,2021
202102615,UGBMHRXFU01,N600,2021/22,BA,Business Management with Human Resource Management,O,Overseas,27/10/2021,2021
202102616,UGBMHRXFU01,N600,2021/22,BA,Business Management with Human Resource Management,O,Overseas,28/10/2021,2021
202102621,UGBMFMXFU01,NN13,2021/22,BA,Business Management and Financial Management,O,Overseas,27/10/2021,2021
202102634,UGLACRXFU01,M1M2,2021/22,LLB,Law with Criminology,H,Home,22/10/2020,2021
202102635,UGPHYSFFU01,F301,2021/22,BSc,Physics,H,Home,22/10/2020,2021
202102637,UGLAWXXFU01,M100,2021/22,LLB,Law,H,Home,22/10/2020,2021
202102638,UGBAGEXFU01,L700,2021/22,BA,Geography,H,Home,22/10/2020,2021
202102639,UGLABMXFU01,M1N1,2021/22,LLB,Law with Business Management,H,Home,22/10/2020,2021
202102640,UGMUPEXFU01,W303,2021/22,BA,Music (Performance),H,Home,22/10/2020,2021
202102641,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,22/10/2020,2021
202102642,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),Q,Query,22/10/2020,2021
202102643,UGLAPOAFU01,M1L3,2021/22,LLB,Law with Politics,H,Home,22/10/2020,2021
202102644,UGLACRXFU01,M1M2,2021/22,LLB,Law with Criminology,H,Home,22/10/2020,2021
202102645,UGMKTGXFU01,N500,2021/22,BA,Marketing,H,Home,22/10/2020,2021
202102646,UGCSGDPFU01,G493,2021/22,BSc,Computer Science for Games Development,H,Home,22/10/2020,2021
202102647,UGCRSOXFU01,LM39,2021/22,BA,Criminology and Sociology,H,Home,22/10/2020,2021
202102674,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,Q,Query,23/10/2020,2021
202102675,UGNURCXFU01,B730,2021/22,BSc,Nursing (Child),H,Home,23/10/2020,2021
202102676,UGBPLSPFU01,L230,2021/22,BA,British Politics and Legislative Studies,H,Home,23/10/2020,2021
202102676,UGHIPOXFU01,LV21,2021/22,BA,History and Politics,H,Home,23/10/2020,2021
202102677,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,23/10/2020,2021
202102679,UGMECEMFU01,H301,2021/22,MEng,Mechanical Engineering,H,Home,23/10/2020,2021
202102680,UGPHYSOXFU01,B160,2021/22,BSc,Physiotherapy,H,Home,23/10/2020,2021
202102681,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,23/10/2020,2021
202102682,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,23/10/2020,2021
202102683,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,23/10/2020,2021
202102684,UGBIOMXFU01,BC99,2021/22,BSc,Biomedical Science,H,Home,23/10/2020,2021
202102685,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,23/10/2020,2021
202102686,UGSAENXFU01,C613,2021/22,BSc,Sport and Exercise Nutrition,O,Overseas,23/10/2020,2021
202102687,UGPHYSOXFU01,B160,2021/22,BSc,Physiotherapy,H,Home,23/10/2020,2021
202102688,UGMARIXFU01,C160,2021/22,BSc,Marine Biology,H,Home,23/10/2020,2021
202102689,UGENSCXFU01,F751,2021/22,BSc,Environmental Science,H,Home,23/10/2020,2021
202102690,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,23/10/2020,2021
202102691,UGFOSCXFU01,F410,2021/22,BSc,Forensic Science,Q,Query,23/10/2020,2021
202102692,UGHISTXFU01,V100,2021/22,BA,History,H,Home,23/10/2020,2021
202102693,UGMARIFFU01,C164,2021/22,BSc,Marine Biology,H,Home,23/10/2020,2021
202102694,UGLAPOXFU01,M1L2,2021/22,LLB,Law with Politics,H,Home,23/10/2020,2021
202102695,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,23/10/2020,2021
202102696,UGMUPEXFU01,W303,2021/22,BA,Music (Performance),H,Home,23/10/2020,2021
202102697,UGCWENXFU01,WQ83,2021/22,BA,Creative Writing and English,H,Home,23/10/2020,2021
202102698,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,H,Home,23/10/2020,2021
202102703,UGSAENXFU01,C613,2021/22,BSc,Sport and Exercise Nutrition,O,Overseas,23/10/2020,2020
202102715,UGMARIXFU01,C160,2021/22,BSc,Marine Biology,H,Home,24/10/2020,2021
202102716,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),Q,Query,24/10/2020,2021
202102717,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,24/10/2020,2021
202102719,UGNURMXFU01,B760,2021/22,BSc,Nursing (Mental Health),H,Home,24/10/2020,2021
202102720,UGLAWXXFU01,M100,2021/22,LLB,Law,H,Home,24/10/2020,2021
202102721,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,24/10/2020,2021
202102722,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,H,Home,24/10/2020,2021
202102723,UGBMENAFU01,N127,2021/22,BA,Business Management with Entrepreneurship,H,Home,24/10/2020,2021
202102724,UGBIMELFU01,H164,2021/22,MEng,Biomedical Engineering,H,Home,24/10/2020,2021
202102725,UGLACRXFU01,M1M2,2021/22,LLB,Law with Criminology,H,Home,24/10/2020,2021
202102726,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,24/10/2020,2021
202102727,UGNURCXFU01,B730,2021/22,BSc,Nursing (Child),H,Home,24/10/2020,2021
202102728,UGINREXFU01,L290,2021/22,BA,Politics and International Relations,H,Home,24/10/2020,2021
202102729,UGECO2XFU01,L115,2021/22,BSc,Economics,H,Home,24/10/2020,2021
202102730,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,H,Home,24/10/2020,2021
202102731,UGMEROPFU01,H361,2021/22,BEng,Mechatronics and Robotics,H,Home,24/10/2020,2021
202102732,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,24/10/2020,2021
202102733,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,24/10/2020,2021
202102734,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,24/10/2020,2021
202102735,UGPHYSOXFU01,B160,2021/22,BSc,Physiotherapy,H,Home,24/10/2020,2021
202102735,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,24/10/2020,2021
202102736,UGBUSMXFU01,N100,2021/22,BA,Business Management,H,Home,24/10/2020,2021
202102737,UGCOMSXFU01,G400,2021/22,BSc,Computer Science,Q,Query,24/10/2020,2021
202102738,UGLAPOAFU01,M1L3,2021/22,LLB,Law with Politics,H,Home,24/10/2020,2021
202102739,UGNURMXFU01,B760,2021/22,BSc,Nursing (Mental Health),H,Home,24/10/2020,2021
202102740,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,24/10/2020,2021
202102741,UGSPREXFU01,C602,2021/22,BSc,Sport Rehabilitation,H,Home,24/10/2020,2021
202102750,UGBAGEXFU01,L700,2021/22,BA,Geography,H,Home,25/10/2020,2021
202102760,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,26/10/2020,2021
202102761,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,H,Home,26/10/2020,2021
202102762,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,26/10/2020,2021
202102763,UGPHYSOXFU01,B160,2021/22,BSc,Physiotherapy,H,Home,26/10/2020,2021
202102764,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,26/10/2020,2021
202102786,UGPHILXFU01,V500,2021/22,BA,Philosophy,H,Home,27/10/2020,2021
202102787,UGNURAXFU02,B740,2021/22,BSc,Nursing (Adult),Q,Query,27/10/2020,2021
202102814,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,28/10/2020,2021
202102815,UGNURLXFU01,B761,2021/22,BSc,Nursing (Learning Disability),H,Home,28/10/2020,2021
202102816,UGSOCWXFU01,L500,2021/22,BA,Social Work,H,Home,28/10/2020,2021
202102817,UGBMENAFU01,N127,2021/22,BA,Business Management with Entrepreneurship,H,Home,28/10/2020,2021
202102818,UGMECEPFU01,H303,2021/22,BEng,Mechanical Engineering,O,Overseas,05/11/2020,2021
202102841,UGPOLTXFU01,L200,2021/22,BA,Politics,H,Home,29/10/2020,2021
202102842,UGINTBPFU01,N125,2021/22,BA,International Business,Q,Query,29/10/2020,2021
202102843,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,29/10/2020,2021
202103006,UGLAWXXFU01,M100,2021/22,LLB,Law,H,Home,30/10/2020,2021
202103007,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,30/10/2020,2021
202103008,UGLAWSXFU01,M101,2021/22,LLB,Law (Senior Status),O,Overseas,30/10/2020,2021
202103009,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,30/10/2020,2021
202103011,UGSOCWXFU01,L500,2021/22,BA,Social Work,H,Home,30/10/2020,2021
202103012,UGSOCWXFU01,L500,2021/22,BA,Social Work,H,Home,30/10/2020,2021
202103013,UGLACRXFU01,M1M2,2021/22,LLB,Law with Criminology,H,Home,30/10/2020,2021
202103014,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,08/01/2021,2021
202103015,UGNURMXFU01,B760,2021/22,BSc,Nursing (Mental Health),H,Home,30/10/2020,2021
202103054,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,31/10/2020,2021
202103055,UGNURCXFU01,B730,2021/22,BSc,Nursing (Child),H,Home,31/10/2020,2021
202103056,UGMUPOXFU01,W305,2021/22,BA,Music (Popular Music),H,Home,31/10/2020,2021
202103057,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,31/10/2020,2021
202103058,UGCSGDXFU01,G490,2021/22,BSc,Computer Science for Games Development,O,Overseas,31/10/2020,2021
202103059,UGCRSOXFU01,LM39,2021/22,BA,Criminology and Sociology,H,Home,31/10/2020,2021
202103060,UGEACSXFU01,X312,2021/22,BA,Early Childhood Studies,H,Home,31/10/2020,2021
202103070,UGMARIXFU01,C160,2021/22,BSc,Marine Biology,Q,Query,01/11/2020,2021
202103071,UGNURCXFU01,B730,2021/22,BSc,Nursing (Child),H,Home,01/11/2020,2021
202103072,UGPHPEXFU01,L0V0,2021/22,BA,"Philosophy, Politics and Economics",O,Overseas,01/11/2020,2021
202103073,UGWRSTXFU01,L252,2021/22,BA,War Studies,H,Home,01/11/2020,2021
202103083,UGMECEFFU01,H302,2021/22,BEng,Mechanical Engineering,H,Home,02/11/2020,2021
202103084,UGNURCXFU01,B730,2021/22,BSc,Nursing (Child),I,Channel Islands and Isle of Man,02/11/2020,2021
202103085,UGMATHXFU01,G100,2021/22,BSc,Mathematics,H,Home,02/11/2020,2021
202103149,UGCRFSXFU01,M9F4,2021/22,BA,Criminology with Forensic Science,H,Home,03/11/2020,2021
202103151,UGLACRAFU01,M1M3,2021/22,LLB,Law with Criminology,H,Home,03/11/2020,2021
